soc,function,vendor_size,candidate_size,delta,direct_calls_exact,vendor_calls,candidate_direct_calls
an7581,S0_DCMOffWA,20,20,0,True,vPhyByteIO32WriteMsk_All,vPhyByteIO32WriteMsk_All
an7581,SA_InitialSettings1,120,120,0,False,DramcBroadcastOnOff;is_ddr4_family;PC4_UpdateInitialSettings;vResetDelayChainBeforeCalibration;DramcBroadcastOnOff;memset;memset;vSetRank;APHY_RG_Setting_Before_K;GetVcoreDelayCellTime;Dramc8PhaseCal;is_ddr3_family;PC3_UpdateInitialSettings;DramcInit_DutyCalibration,DramcBroadcastOnOff;is_ddr4_family;PC4_UpdateInitialSettings;is_ddr3_family;PC3_UpdateInitialSettings;vResetDelayChainBeforeCalibration;DramcBroadcastOnOff;memset;memset;vSetRank;APHY_RG_Setting_Before_K;GetVcoreDelayCellTime;Dramc8PhaseCal;DramcInit_DutyCalibration
an7581,SA_InitialSettings2,38,40,2,True,DramcBroadcastOnOff;DdrUpdateACTiming;memset;vBeforeCalibration,DramcBroadcastOnOff;DdrUpdateACTiming;memset;vBeforeCalibration
an7581,SetCKE2RankIndependent,6,6,0,True,vCKERankCtrl,vCKERankCtrl
an7581,SetMck8xLowPwrOption,20,20,0,True,vPhyByteIO32WriteMsk,vPhyByteIO32WriteMsk
an7583,APHY_RG_Check,572,508,-64,False,printf;printf;printf;printf;printf;printf;printf;printf;printf;printf;printf;printf;printf;printf;printf;printf;printf;printf;printf;printf;printf;printf;printf;printf;printf;printf;printf;printf;printf;printf;printf;printf;printf;printf;printf;printf;printf;printf;printf;printf,
an7583,APHY_RG_Setting_Before_K,460,476,16,False,printf;vGetPHY2ChannelMapping;vSetPHY2ChannelMapping;vPhyByteIO32WriteMsk;vPhyByteWriteFldAlign;vPhyByteWriteFldAlign;vPhyByteWriteFldAlign;vPhyByteWriteFldAlign;vSetPHY2ChannelMapping;vPhyByteWriteFldAlign;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteWriteFldAlign;vPhyByteWriteFldAlign;vPhyByteIO32WriteMsk;vSetPHY2ChannelMapping;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteWriteFldAlign;vPhyByteWriteFldAlign;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vSetPHY2ChannelMapping,printf;vGetPHY2ChannelMapping;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteWriteFldAlign;vPhyByteWriteFldAlign;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vSetPHY2ChannelMapping
an7583,DFSInitForCalibration,148,160,12,False,DV_InitialSettings;SA_InitialSettings1;DramcBroadcastOnOff;SetClkFreeRun;DramcBroadcastOnOff;is_ddr4_family;PC4_DRAM_INIT;DramcBroadcastOnOff;SetClkFreeRun;DramcBroadcastOnOff;vSetPHY2ChannelMapping;is_ddr3_family;PC3_DRAM_INIT;vSetPHY2ChannelMapping;DIG_HW_NONSHUF_SWITCH;SA_InitialSettings2,DV_InitialSettings;SA_InitialSettings1;DramcBroadcastOnOff;SetClkFreeRun;DramcBroadcastOnOff;is_ddr4_family;PC4_DRAM_INIT;is_ddr3_family;PC3_DRAM_INIT;DramcBroadcastOnOff;SetClkFreeRun;DramcBroadcastOnOff;vSetPHY2ChannelMapping;DIG_HW_NONSHUF_SWITCH;vSetPHY2ChannelMapping;SA_InitialSettings2
an7583,DQSSTBSettings,112,124,12,False,is_ddr4_family;is_ddr3_family;vIO32WriteMsk;vPhyByteWriteFldAlign;vPhyByteWriteFldAlign;vPhyByteWriteFldAlign,is_ddr4_family;is_ddr3_family;vIO32WriteMsk
an7583,DV_InitialSettings,42,44,2,True,DramcBroadcastOnOff;ANA_init;DIG_STATIC_SETTING;DIG_CONFIG_SHUF;DramcBroadcastOnOff,DramcBroadcastOnOff;ANA_init;DIG_STATIC_SETTING;DIG_CONFIG_SHUF;DramcBroadcastOnOff
